id,name,sale_ok,purchase_ok,type,hospital_product_type,categ_id/id,default_code
product_product_81000,Examen Completo de Orina,1,0,service,pathology,product_category_exa_lab,81000
product_product_81015,Sedimento urinario,1,0,service,pathology,product_category_exa_lab,81015
product_product_82040,Albumina en sangre,1,0,service,pathology,product_category_exa_lab,82040
product_product_82043,Microalbuminuria,1,0,service,pathology,product_category_exa_lab,82043
product_product_82150,Amilasa,1,0,service,pathology,product_category_exa_lab,82150
product_product_82247,Bilirrubina total,1,0,service,pathology,product_category_exa_lab,82247
product_product_82248,Bilirrubina directa,1,0,service,pathology,product_category_exa_lab,82248
product_product_82271,Sangre Oculta en Heces (Thevenon),1,0,service,pathology,product_category_exa_lab,82271
product_product_82310,Calcio sérico,1,0,service,pathology,product_category_exa_lab,82310
product_product_82465,Colesterol total,1,0,service,pathology,product_category_exa_lab,82465
product_product_82565,Creatinina en sangre,1,0,service,pathology,product_category_exa_lab,82565
product_product_82570.02,Creatinina en orina 24 horas,1,0,service,pathology,product_category_exa_lab,82570.02
product_product_82575,Depuración de creatinina,1,0,service,pathology,product_category_exa_lab,82575
product_product_82670,Estradiol,1,0,service,pathology,product_category_exa_lab,82670
product_product_82947,Glucosa basal,1,0,service,pathology,product_category_exa_lab,82947
product_product_82950,Glucosa post pandrial,1,0,service,pathology,product_category_exa_lab,82950
product_product_82951,Tolerancia de glucosa,1,0,service,pathology,product_category_exa_lab,82951
product_product_82962,Glucosa (glucómetro),1,0,service,pathology,product_category_exa_lab,82962
product_product_83001,Hormona folículoestimulante (FSH),1,0,service,pathology,product_category_exa_lab,83001
product_product_83002,Hormona luteinizante (LH),1,0,service,pathology,product_category_exa_lab,83002
product_product_83036,Hemoglobina glicosilada,1,0,service,pathology,product_category_exa_lab,83036
product_product_84295,Sodio en sangre,1,0,service,pathology,product_category_exa_lab,84295
product_product_82435,Cloro en sangre,1,0,service,pathology,product_category_exa_lab,82435
product_product_84132,Potasio en sangre,1,0,service,pathology,product_category_exa_lab,84132
product_product_80051.02,Electrolitos en orina,1,0,service,pathology,product_category_exa_lab,80051.02
product_product_83525,Insulina total,1,0,service,pathology,product_category_exa_lab,83525
product_product_83718,HDL colesterol,1,0,service,pathology,product_category_exa_lab,83718
product_product_83721,LDL colesterol,1,0,service,pathology,product_category_exa_lab,83721
product_product_83719,VLDL colesterol,1,0,service,pathology,product_category_exa_lab,83719
product_product_83735,Magnesio en sangre,1,0,service,pathology,product_category_exa_lab,83735
product_product_84066,Fosfatasa ácida prostática,1,0,service,pathology,product_category_exa_lab,84066
product_product_84075,Fosfatasa alcalina,1,0,service,pathology,product_category_exa_lab,84075
